["38° 58.719' N,9° 25.393' W"
 "49° 42.511' N,0° 12.092' E"
 "15° 14.171' N,120° 0.657' E"
 "26° 13.836' S,48° 29.933' W"
 "6° 29.112' S,39° 29.849' E"
 "4° 26.982' S,81° 16.756' W"
 "39° 20.463' N,2° 59.338' E"
 "34° 1.437' S,18° 19.811' E"
 "28° 8.124' S,48° 38.562' W"
 "47° 33.507' N,3° 8.155' W"
 "9° 21.599' S,13° 9.12' E"
 "32° 15.116' N,64° 49.279' W"
 "7° 44.895' S,108° 30.131' E"
 "42° 5.154' N,11° 47.788' E"
 "52° 8.06' N,7° 16.974' W"
 "4° 10.67' S,81° 8.486' W"
 "14° 17.033' S,38° 59.104' W"
 "21° 3.345' S,55° 13.278' E"
 "34° 6.591' S,18° 28.138' E"
 "43° 55.728' N,59° 52.56' W"
 "0° 15.354' N,73° 21.401' E"
 "42° 34.967' N,8° 48' E"
 "47° 11.449' N,2° 9.634' W"
 "23° 3.36' S,44° 22.009' W"
 "42° 39.708' N,9° 3.622' E"
 "50° 55.985' N,0° 47.09' E"
 "4° 22.079' S,55° 50.569' E"
 "62° 41.509' N,6° 11.904' E"
 "10° 15.081' S,120° 34.479' E"
 "14° 29.232' N,61° 5.018' W"
 "23° 8.649' N,109° 30.379' W"
 "40° 8.37' N,8° 52.172' W"
 "37° 42.427' N,0° 44.304' W"
 "43° 31.949' N,13° 37.264' E"
 "34° 6.74' S,18° 28.001' E"
 "18° 21.446' N,67° 16.162' W"
 "48° 25.644' N,2° 9.744' E"
 "16° 55.02' N,100° 0.654' W"
 "23° 13.932' S,35° 29.669' E"
 "19° 10.432' N,96° 7.101' W"
 "18° 51.882' N,95° 48.047' W"
 "34° 10.114' S,24° 50.071' E"
 "8° 48.998' S,115° 5.175' E"
 "33° 42.959' N,7° 20.806' W"
 "40° 2.855' N,8° 23.927' E"
 "4° 45.631' S,55° 29.045' E"
 "34° 10.902' S,18° 22.663' E"
 "34° 6.105' S,18° 21.062' E"
 "32° 52.842' S,28° 5.51' E"
 "51° 10.657' N,4° 13.012' W"
 "14° 46.818' N,17° 25.093' W"
 "12° 20.304' S,76° 49.33' W"
 "29° 41.218' S,49° 58.353' W"
 "40° 59.855' N,8° 38.904' W"
 "9° 25.431' N,82° 15.37' W"
 "17° 53.157' S,177° 11.187' E"
 "32° 11.647' N,34° 48.393' E"
 "57° 40.955' N,2° 44.64' W"
 "17° 36.218' S,149° 37.342' W"
 "8° 23.09' N,83° 16.793' W"
 "8° 40.695' S,115° 26.473' E"
 "51° 59.276' N,4° 6.272' E"
 "50° 34.983' N,4° 53.095' W"
 "33° 23.386' S,71° 41.677' W"
 "4° 1.01' N,9° 6.172' E"
 "64° 14.873' N,14° 58.342' W"
 "9° 27.112' N,79° 44.821' W"
 "43° 19.697' N,5° 4.981' E"
 "38° 50.101' N,20° 39.474' E"
 "40° 55.247' N,8° 39.759' W"
 "45° 29.116' N,1° 9.148' W"
 "8° 56.157' S,116° 44.649' E"
 "7° 14.481' N,80° 33.922' W"
 "54° 21.093' N,12° 23.137' E"
 "22° 58.519' S,42° 2.03' W"
 "20° 13.459' S,70° 9.18' W"
 "18° 27.013' N,64° 36.399' W"
 "21° 1.701' S,55° 13.475' E"
 "1° 41.372' S,99° 17.823' E"
 "25° 30.919' S,48° 17.167' W"
 "24° 4.462' N,15° 35.001' W"
 "17° 53.307' N,62° 48.603' W"
 "50° 52.238' N,1° 35.446' E"
 "29° 14.255' N,13° 32.048' W"
 "57° 7.994' N,2° 3.519' W"
 "38° 27.226' N,9° 11.945' W"
 "43° 26.056' N,2° 52.053' W"
 "12° 6.962' N,109° 11.77' E"
 "21° 9.908' S,55° 17.069' E"
 "42° 32.385' N,14° 8.069' E"
 "50° 45.72' N,0° 17.207' E"
 "50° 50.968' N,0° 32.069' E"
 "33° 58.95' S,25° 40.171' E"
 "43° 18.713' N,8° 32.919' W"
 "29° 13.535' N,13° 27.722' W"
 "50° 55.873' N,1° 42.914' E"
 "31° 15.514' N,116° 22.472' W"
 "0° 37.325' S,8° 42.94' E"
 "10° 26.159' N,85° 47.552' W"
 "10° 17.892' N,85° 50.861' W"
 "22° 53.124' S,42° 0.839' W"
 "18° 29.222' N,66° 20.597' W"
 "34° 41.563' S,20° 14.194' E"
 "29° 47.159' S,50° 1.478' W"
 "39° 56.713' N,23° 57.243' E"
 "54° 24.117' N,11° 18.684' E"
 "49° 37.954' N,1° 51.013' W"
 "16° 25.781' N,61° 32.369' W"
 "39° 54.102' N,4° 4.164' E"
 "11° 57.523' N,79° 50.382' E"
 "31° 58.61' N,116° 47.435' W"
 "3° 53.64' N,73° 27.956' E"
 "28° 44.865' N,13° 56.03' W"
 "30° 30.127' N,9° 41.089' W"
 "18° 29.453' N,66° 52.067' W"
 "8° 23.172' S,113° 28.384' E"
 "23° 29.084' S,45° 4.426' W"
 "23° 20.163' S,44° 40.458' W"
 "49° 6.118' N,125° 52.819' W"
 "23° 47.738' N,106° 52.92' W"
 "49° 27.976' N,11° 1.561' E"
 "58° 50.766' N,5° 33.589' E"
 "16° 47.238' S,151° 22.905' W"
 "46° 51.37' S,37° 50.656' E"
 "37° 10.719' N,25° 33.282' E"
 "44° 39.301' N,1° 15.533' W"
 "48° 22.321' N,64° 35.249' W"
 "32° 23.925' N,131° 38.505' E"
 "34° 36.01' N,138° 12.319' E"
 "5° 50.506' S,81° 6.45' W"
 "45° 32.973' N,1° 3.315' W"
 "34° 41.373' N,138° 58.355' E"
 "17° 38.04' S,149° 37.234' W"
 "4° 48.021' N,1° 56.288' W"
 "28° 33.432' N,16° 20.421' W"
 "44° 20.492' S,65° 14.868' W"
 "14° 45.462' N,17° 30.904' W"
 "53° 21.045' N,0° 15.542' E"
 "43° 17.348' N,2° 10.173' W"
 "47° 33.573' N,9° 38.855' E"
 "38° 19.077' N,21° 25.565' E"
 "41° 30.414' N,2° 24.309' E"
 "32° 14.868' N,116° 56.93' W"
 "38° 35.958' N,128° 22.185' E"
 "16° 47.257' N,99° 49.224' W"
 "13° 11.481' N,59° 38.429' W"
 "8° 46.904' S,118° 22.295' E"
 "32° 5.04' S,18° 18.759' E"
 "32° 59.553' S,71° 32.924' W"
 "32° 48.414' N,34° 57.288' E"
 "32° 51.064' N,17° 13.205' W"
 "28° 22.278' N,16° 52.266' W"
 "38° 42.456' N,9° 29.423' W"
 "50° 27.935' N,5° 1.92' W"
 "3° 50.727' S,32° 25.902' W"
 "42° 53.368' N,9° 8.337' W"
 "43° 26.902' N,4° 25.263' E"
 "44° 36.625' N,33° 27.429' E"
 "8° 41.23' S,115° 9.238' E"
 "8° 44.057' S,114° 20.384' E"
 "4° 27.105' S,81° 17.17' W"
 "43° 27.422' N,3° 44.664' W"
 "44° 53.659' N,1° 13.231' W"
 "48° 8.304' N,4° 16.548' W"
 "20° 13.071' S,70° 9.517' W"
 "34° 34.915' N,32° 56.283' E"
 "50° 4.127' N,1° 23.101' E"
 "9° 35.913' N,84° 37.295' W"
 "12° 10.285' S,77° 2.144' W"
 "26° 34.015' S,48° 39.451' W"
 "32° 46.738' S,71° 32.377' W"
 "42° 46.757' N,10° 47.108' E"
 "44° 37.313' N,1° 15.229' W"
 "48° 12.659' N,4° 33.346' W"
 "47° 42.641' N,3° 22.492' W"
 "42° 47.475' N,10° 14.592' E"
 "0° 57.531' S,90° 58.93' W"
 "38° 58.786' N,9° 25.432' W"
 "45° 25.159' N,73° 36.184' W"
 "40° 8.803' N,8° 52.473' W"
 "12° 35.818' N,101° 24.535' E"
 "43° 49.331' N,7° 48.832' E"
 "56° 17.864' N,2° 38.117' W"
 "12° 11.518' N,86° 46.372' W"
 "23° 46.656' S,45° 40.213' W"
 "6° 14.136' S,105° 49.502' E"
 "47° 56.347' N,4° 24.253' W"
 "26° 30.863' N,76° 58.244' W"
 "10° 15.374' S,120° 34.453' E"
 "2° 39.598' S,141° 16.762' E"
 "34° 0.614' S,24° 55.192' E"
 "21° 6.708' S,55° 15.122' E"
 "10° 18.166' N,85° 50.468' W"
 "22° 55.73' S,43° 10.216' W"
 "28° 44.354' N,13° 57.318' W"
 "43° 31.177' N,10° 18.761' E"
 "16° 19.609' N,61° 18.317' W"
 "21° 22.417' S,55° 35.251' E"
 "42° 2.19' N,11° 52.528' E"
 "32° 21.603' N,131° 37.497' E"
 "53° 42.889' N,7° 9.502' E"
 "21° 6.642' S,55° 15.04' E"
 "12° 44.065' S,38° 8.667' W"
 "13° 0.6' S,38° 32.016' W"
 "28° 44.012' N,13° 51.345' W"
 "18° 23.715' N,67° 11.647' W"
 "23° 1.922' S,43° 28.536' W"
 "15° 6.292' N,145° 44.334' E"
 "58° 18.043' N,11° 17.075' E"
 "50° 32.613' N,4° 58.753' W"
 "15° 33.441' N,61° 17.747' W"
 "49° 0.111' N,125° 38.384' W"
 "20° 12.946' S,70° 9.561' W"
 "9° 51.732' N,85° 26.651' W"
 "13° 13.129' N,59° 31.76' W"
 "51° 52.363' N,5° 15.22' W"
 "39° 33.107' N,2° 36.393' E"
 "9° 14.916' N,83° 51.704' W"
 "43° 33.68' N,13° 36.116' E"
 "39° 10.368' N,9° 21.508' W"
 "17° 28.66' S,149° 49.63' W"
 "22° 14.759' N,114° 14.865' E"
 "23° 58.305' S,46° 20.833' W"
 "44° 8.409' N,64° 30.399' W"
 "37° 21.686' N,8° 50.48' W"
 "14° 55.001' N,23° 30.368' W"
 "20° 26.644' S,57° 18.477' E"
 "48° 6.539' N,4° 21.71' W"
 "46° 7.92' N,1° 8.927' W"
 "28° 3.459' N,15° 25.079' W"
 "33° 43.481' S,18° 26.401' E"
 "36° 50.045' N,11° 7.043' E"
 "54° 12.494' N,9° 6.46' W"
 "44° 31.256' N,1° 15.558' W"
 "5° 16.222' S,103° 59.924' E"
 "34° 38.957' N,32° 44.986' E"
 "54° 28.867' N,8° 17.073' W"
 "12° 40.267' S,76° 39.885' W"
 "33° 3.24' N,16° 20.462' W"
 "22° 56.661' S,42° 28.091' W"
 "37° 0.329' N,8° 56.335' W"
 "34° 10.031' S,18° 51.315' E"
 "10° 17.167' N,85° 51.082' W"
 "53° 29.332' N,6° 5.843' W"
 "20° 46.072' N,105° 31.199' W"
 "51° 22.255' N,3° 21.771' E"
 "43° 24.668' N,1° 38.328' W"
 "7° 14.98' N,80° 29.31' W"
 "32° 0.658' N,131° 29.66' E"
 "54° 17.718' N,8° 56.998' W"
 "13° 17.829' N,144° 39.534' E"
 "46° 20.362' N,1° 27.599' W"
 "38° 39.804' N,1° 30.749' E"
 "34° 25.198' S,19° 10.706' E"
 "47° 14.367' N,2° 16.332' W"
 "18° 21.78' N,67° 16.294' W"
 "43° 17.864' N,2° 18.554' W"
 "43° 54.167' N,1° 22.673' W"
 "44° 38.888' N,63° 16.463' W"
 "26° 58.588' S,48° 37.39' W"
 "46° 30.821' N,6° 35.976' E"
 "18° 20.635' N,67° 15.639' W"
 "41° 44.266' S,73° 44.002' W"
 "50° 45.615' N,0° 51.641' W"
 "20° 16.969' N,58° 43.892' E"
 "5° 0.176' S,154° 37.633' E"
 "23° 0.89' S,43° 18.111' W"
 "43° 19.408' N,8° 48.855' W"
 "48° 38.192' N,2° 7.469' W"
 "23° 45.975' N,15° 55.476' W"
 "28° 34.319' N,14° 2.923' W"
 "28° 38.91' N,14° 1.286' W"
 "26° 59.263' S,48° 37.797' W"
 "29° 3.568' S,167° 57.346' E"
 "17° 53.576' N,62° 48.313' W"
 "18° 27.502' N,69° 54.342' W"
 "29° 50.653' S,31° 1.843' E"
 "9° 40.269' N,82° 47.249' W"
 "8° 47.945' S,115° 7.025' E"
 "47° 47.817' N,4° 12.497' W"
 "36° 51.032' N,10° 20.036' E"
 "52° 59.046' N,9° 26.336' W"
 "50° 26.619' N,3° 33.373' W"
 "10° 31.635' N,51° 12.966' E"
 "34° 5.93' S,24° 53.775' E"
 "8° 36.307' S,114° 1.574' E"
 "30° 17.311' N,120° 16.762' E"
 "27° 34.369' S,48° 25.463' W"
 "19° 40.703' N,70° 0.971' W"
 "8° 48.447' S,115° 6.51' E"
 "0° 2.637' S,98° 18.34' E"
 "40° 4.271' N,8° 28.806' E"
 "36° 16.251' N,120° 41.254' E"
 "18° 28.795' S,70° 19.756' W"
 "41° 7.197' S,63° 0.567' W"
 "38° 0.816' S,57° 31.695' W"
 "48° 5.865' N,4° 20.074' W"
 "38° 56.032' N,0° 5.817' W"
 "1° 4.405' S,48° 24.191' W"
 "8° 53.013' S,116° 27.037' E"
 "32° 24.361' N,131° 38.803' E"
 "34° 53.584' S,55° 15.948' W"
 "6° 5.442' N,80° 8.064' E"
 "26° 37.434' S,48° 40.799' W"
 "51° 32.921' N,4° 12.126' W"
 "7° 25.874' S,158° 19.145' E"
 "8° 38.328' S,115° 17.426' E"
 "29° 51.582' S,31° 2.512' E"
 "37° 49.067' N,25° 32.912' W"
 "33° 27.187' S,71° 40.627' W"
 "38° 40.733' N,9° 18.957' W"
 "34° 2.822' S,18° 21.265' E"
 "41° 9.51' N,29° 37.148' E"
 "63° 49.307' N,22° 24.315' W"
 "22° 24.98' N,114° 22.923' E"
 "11° 12.717' S,77° 37.795' W"
 "34° 12.44' S,24° 50.189' E"
 "50° 17.308' N,3° 53.926' W"
 "49° 46.257' N,124° 23.176' W"
 "25° 24.308' N,50° 45.328' E"
 "33° 48.623' S,80° 48.094' W"
 "58° 47.939' N,17° 48.571' E"
 "18° 22.582' N,65° 42.82' W"
 "40° 57.466' N,8° 39.403' W"
 "33° 58.369' S,18° 22.23' E"
 "50° 25.321' N,5° 3.839' W"
 "22° 36.571' S,41° 59.866' W"
 "21° 30.796' N,105° 15.711' W"
 "49° 32.745' N,1° 52.562' W"
 "0° 41.311' S,48° 28.996' W"
 "5° 57.815' N,80° 23.025' E"
 "22° 59.277' S,43° 13.172' W"
 "38° 0.54' N,0° 39.076' W"
 "45° 50.42' N,1° 15.373' W"
 "37° 12.426' N,7° 5.429' W"
 "22° 59.162' S,43° 10.921' W"
 "39° 17.055' N,20° 23.795' E"
 "45° 30.016' N,73° 32.541' W"
 "53° 51.49' N,6° 14.533' W"
 "43° 34.174' N,5° 42.979' W"
 "40° 43.661' N,24° 45.595' E"
 "43° 28.534' N,3° 47.033' W"
 "6° 54.324' N,81° 50.699' E"
 "64° 4.997' N,22° 41.628' W"
 "38° 42.115' N,9° 23.95' W"
 "43° 15.164' N,28° 1.8' E"
 "30° 32.539' N,9° 42.374' W"
 "20° 21.415' S,40° 17.378' W"
 "1° 50.986' S,99° 18.15' E"
 "5° 58.03' N,80° 22.196' E"
 "9° 51.531' N,84° 42.069' W"
 "21° 15.829' S,55° 19.706' E"
 "32° 50.131' N,34° 58.771' E"
 "31° 48.163' N,131° 28.676' E"
 "12° 9.956' S,77° 2.12' W"
 "38° 59.39' S,61° 17.893' W"
 "27° 51.453' N,115° 9.647' W"
 "8° 50.859' S,116° 45.585' E"
 "4° 44.703' N,2° 4.989' W"
 "23° 14.504' N,106° 27.209' W"
 "27° 27.476' S,48° 22.358' W"
 "41° 12.62' N,13° 33.981' E"
 "21° 1.565' S,55° 13.561' E"
 "8° 40.459' N,98° 14.452' E"
 "33° 56.82' S,18° 22.583' E"
 "32° 16.085' N,117° 1.403' W"
 "49° 52.654' N,0° 47.93' E"
 "19° 19.033' N,104° 56.743' W"
 "24° 5.605' N,55° 44.348' E"
 "30° 24.647' S,50° 17.56' W"
 "36° 0.759' N,5° 36.192' W"
 "2° 37.024' S,140° 44.247' E"
 "4° 59.627' N,114° 55.195' E"
 "32° 1.168' N,131° 29.85' E"
 "33° 39.986' N,35° 24.983' E"
 "29° 6.857' N,13° 39.722' W"
 "30° 4.736' S,30° 52.354' E"
 "43° 4.073' N,5° 52.134' E"
 "48° 41.869' N,3° 39.867' W"
 "21° 3.412' S,55° 13.279' E"
 "34° 3.632' N,35° 38.509' E"
 "43° 22.69' N,1° 45.778' W"
 "9° 21.388' S,125° 16.47' E"
 "38° 34.904' S,58° 42.17' W"
 "32° 48.468' N,17° 15.751' W"
 "42° 1.702' N,11° 50.361' E"
 "21° 20.815' S,55° 28.586' E"
 "32° 14.453' S,71° 30.597' W"
 "28° 9.527' N,15° 39.925' W"
 "54° 10.844' N,12° 4.508' E"
 "11° 59.926' N,68° 38.898' W"
 "12° 9.338' N,86° 45.448' W"
 "37° 1.819' N,8° 54.517' E"
 "38° 22.43' N,0° 24.588' W"
 "22° 54.397' S,43° 7.182' W"
 "26° 53.855' S,48° 38.322' W"
 "41° 43.27' N,8° 52.244' W"
 "42° 7.16' N,27° 54.476' E"
 "16° 14.458' N,61° 20.35' W"
 "44° 10.217' N,9° 36.454' E"
 "35° 25.37' N,23° 33.843' E"
 "27° 58.575' S,48° 37.68' W"
 "9° 31.577' S,35° 34.981' W"
 "37° 58.58' S,57° 32.481' W"
 "37° 3.894' N,8° 49.505' W"
 "34° 7.937' S,18° 26.438' E"
 "50° 45.882' N,1° 36.163' E"
 "44° 29.754' N,1° 14.997' W"
 "0° 16.912' N,73° 26.759' E"
 "26° 4.753' N,127° 41.161' E"
 "24° 23.272' N,120° 35.043' E"
 "23° 46.338' S,45° 55.335' W"
 "43° 42.253' N,79° 13.739' W"
 "23° 49.194' S,45° 32.485' W"
 "1° 54.547' S,99° 18.639' E"
 "43° 24.447' N,2° 41.648' W"
 "50° 16.681' N,3° 53.216' W"
 "53° 0.772' N,9° 24.408' W"
 "23° 37.61' S,43° 35.128' E"
 "49° 7.804' N,125° 54.364' W"
 "0° 17.782' N,6° 45.63' E"
 "43° 30.719' N,1° 32.126' W"
 "9° 43.153' N,98° 23.613' E"
 "45° 52.588' N,60° 3.632' W"
 "16° 3.434' N,108° 14.86' E"
 "22° 58.978' S,42° 1.301' W"
 "14° 3.476' N,60° 58.577' W"
 "2° 11.804' N,97° 17.695' E"
 "25° 53.569' S,48° 33.688' W"
 "28° 7.462' S,48° 38.261' W"
 "9° 43.884' S,39° 43.224' E"
 "17° 33.742' S,149° 19.48' W"
 "30° 20.035' S,30° 44.086' E"
 "20° 0.365' S,57° 41.71' E"
 "34° 9.716' S,18° 19.658' E"
 "32° 30.235' S,71° 26.653' W"
 "38° 41.549' N,9° 22.308' W"
 "12° 11.382' N,86° 48.179' W"
 "29° 14.392' N,13° 31.525' W"
 "21° 5.723' N,86° 45.851' W"
 "9° 4.295' N,126° 11.461' E"
 "1° 54.381' S,99° 18.678' E"
 "44° 34.89' N,1° 13.087' W"
 "12° 10.125' N,86° 45.869' W"
 "31° 48.792' N,131° 27.564' E"
 "38° 1.673' N,24° 0.359' E"
 "15° 0' N,1° 0' E"
 "36° 11.165' N,5° 56.808' W"
 "13° 55.519' N,90° 43.295' W"
 "27° 37.775' S,48° 26.926' W"
 "25° 53.865' S,48° 33.857' W"
 "47° 7.789' N,2° 13.571' W"
 "43° 22.788' N,10° 26.096' E"
 "34° 6.75' S,18° 49.262' E"
 "34° 13.892' S,18° 50.606' E"
 "38° 37.903' N,24° 7.596' E"
 "20° 19.051' S,40° 17.312' W"
 "44° 43.306' N,1° 15.046' W"
 "21° 49.571' S,70° 8.642' W"
 "55° 38.354' N,14° 17.181' E"
 "50° 44.552' N,0° 12.02' E"
 "6° 48.654' N,81° 49.439' E"
 "49° 34.062' N,1° 50.778' W"
 "21° 30.558' N,59° 23.031' E"
 "14° 48.47' N,61° 0.884' W"
 "39° 12.304' N,9° 10.009' E"
 "29° 19.45' S,49° 42.745' W"
 "32° 6.689' S,71° 31.234' W"
 "37° 17.717' N,21° 41.514' E"
 "30° 16.797' S,30° 45.619' E"
 "8° 31.526' S,35° 0.376' W"
 "43° 34.689' N,1° 29.417' W"
 "12° 48.665' S,45° 17.58' E"
 "53° 7.027' N,9° 15.421' W"
 "7° 39.169' N,81° 17.605' W"
 "35° 24.293' N,2° 57.221' W"
 "9° 23.777' N,84° 9.729' W"
 "3° 43.601' S,38° 27.421' W"
 "40° 40.293' N,141° 26.331' E"
 "32° 40.53' N,34° 55.729' E"
 "27° 45.316' N,15° 40.741' W"
 "8° 12.318' N,82° 10.827' W"
 "43° 23.806' N,1° 39.848' W"
 "4° 44.825' S,55° 31.262' E"
 "32° 59.404' S,71° 32.928' W"
 "29° 39.968' S,31° 7.443' E"
 "35° 19.798' N,140° 24.028' E"
 "37° 14.867' N,8° 52.164' W"
 "14° 15.813' S,38° 59.614' W"
 "28° 12.896' N,14° 13.356' W"
 "51° 33.839' N,4° 0.283' W"
 "35° 23.116' N,4° 59.566' W"
 "4° 5.242' S,39° 40.988' E"
 "2° 47.324' S,99° 59.514' E"
 "28° 9.492' N,15° 26.067' W"
 "37° 0.383' N,8° 56.893' W"
 "26° 54.91' S,48° 38.362' W"
 "25° 2.326' S,46° 58.719' E"
 "58° 34.102' N,4° 0.014' W"
 "34° 5.163' S,22° 58.497' E"
 "50° 53.295' N,1° 39.585' E"
 "44° 32.419' N,12° 16.85' E"
 "51° 51.034' N,5° 7.409' W"
 "10° 11.752' N,85° 49.937' W"
 "49° 44.432' N,119° 45.682' W"
 "32° 38.568' S,71° 26.015' W"
 "21° 6.768' S,55° 15.151' E"
 "16° 12.613' N,61° 25.628' W"
 "34° 43.926' N,138° 14.035' E"
 "19° 39.554' S,39° 50.495' W"
 "9° 31.086' N,84° 26.167' W"
 "9° 46.576' S,78° 14.755' W"
 "43° 33.343' N,8° 16.15' W"
 "62° 29.312' N,5° 57.996' E"
 "50° 25.545' N,5° 6.215' W"
 "8° 48.442' S,115° 14.094' E"
 "23° 9.27' S,109° 29.587' W"
 "43° 33.114' N,5° 37.428' W"
 "51° 28.283' N,9° 25.334' W"
 "15° 12.598' N,61° 22.027' W"
 "61° 33.752' N,21° 31.345' E"
 "30° 37.531' S,30° 32.776' E"
 "18° 26.004' N,67° 9.376' W"
 "39° 35.526' N,19° 48.33' E"
 "53° 58.283' N,10° 3.711' W"
 "27° 8.902' S,48° 29.372' W"
 "54° 10.277' N,133° 2.058' W"
 "51° 47.593' N,8° 10.942' W"
 "49° 55.019' N,1° 1.696' E"
 "55° 12.549' N,6° 38.536' W"
 "12° 20.394' S,76° 49.592' W"
 "47° 49.882' N,4° 21.257' W"
 "49° 41.502' N,1° 27.335' W"
 "21° 24.866' N,91° 58.9' E"
 "20° 27.08' S,57° 42.556' E"
 "28° 28.47' N,13° 51.948' W"
 "18° 2.976' N,63° 8.105' W"
 "34° 8.107' S,18° 19.882' E"
 "12° 24.077' S,76° 46.713' W"
 "8° 38.808' S,115° 16.819' E"
 "5° 0.325' S,154° 36.366' E"
 "17° 52.004' S,149° 15.229' W"
 "7° 42.488' S,79° 27.6' W"
 "17° 59.329' N,71° 9.746' W"
 "41° 11.351' N,8° 42.457' W"
 "47° 52.321' N,4° 21.643' W"
 "39° 22.033' N,9° 20.545' W"
 "4° 21.052' S,55° 50.892' E"
 "51° 49.722' N,3° 53.543' E"
 "17° 30.458' S,149° 27.685' W"
 "32° 57.849' S,71° 32.895' W"
 "32° 40.725' N,17° 5.264' W"
 "46° 0.63' N,1° 19.972' W"
 "29° 7.249' N,13° 39.608' W"
 "51° 33.336' N,3° 28.218' E"
 "29° 7.044' N,13° 38.374' W"
 "32° 48.732' N,34° 57.258' E"
 "4° 10.224' N,73° 29.312' E"
 "9° 39.63' N,84° 40.457' W"
 "12° 4.471' S,77° 10.936' W"
 "12° 33.144' N,69° 58.479' W"
 "34° 8.661' S,18° 19.108' E"
 "17° 54.987' N,101° 52.143' W"
 "51° 3.484' N,2° 21.747' E"
 "23° 36.857' S,70° 23.523' W"
 "54° 36.977' N,8° 35.092' W"
 "17° 55.051' N,62° 48.046' W"
 "23° 58.88' S,46° 22.426' W"
 "8° 23.119' N,76° 58.701' E"
 "29° 3.087' S,167° 59.136' E"
 "13° 28.982' N,89° 19.439' W"
 "10° 46.832' N,85° 40.984' W"
 "6° 28.672' S,105° 39.439' E"
 "43° 39.915' N,1° 26.633' W"
 "38° 55.914' N,9° 25.194' W"
 "18° 28.657' N,66° 15.748' W"
 "25° 8.578' N,56° 21.441' E"
 "26° 46.02' S,48° 38.365' W"
 "37° 26.55' N,8° 47.98' W"
 "12° 34.304' S,76° 42.99' W"
 "25° 53.403' S,48° 33.617' W"
 "51° 38.394' N,5° 4.121' W"
 "39° 7.344' N,9° 31.54' E"
 "21° 13.504' N,86° 43.791' W"
 "37° 15.36' S,56° 57.751' W"
 "28° 6.867' S,48° 38.134' W"
 "36° 4.642' S,72° 47.933' W"
 "29° 59.585' S,50° 7.53' W"
 "23° 22.258' S,44° 47.992' W"
 "29° 32.35' S,31° 13.26' E"
 "33° 26.062' N,133° 58.918' E"
 "12° 37.506' N,87° 21.266' W"
 "4° 45.562' S,55° 31.3' E"
 "42° 9.38' N,8° 49.606' W"
 "38° 43.807' N,9° 28.522' W"
 "37° 49.595' N,25° 28.287' W"
 "46° 46.426' N,2° 3.635' W"
 "51° 38.689' N,4° 51.623' W"
 "18° 17.813' S,177° 55.822' E"
 "50° 43.128' N,1° 50.616' W"
 "54° 29.465' N,0° 36.96' W"
 "32° 35.868' S,71° 26.352' W"
 "34° 2.148' S,22° 45.501' E"
 "12° 7.471' S,77° 2.418' W"
 "9° 38.233' N,85° 10.09' W"
 "39° 12.435' N,9° 33.909' E"
 "16° 55.339' N,25° 18.814' W"
 "17° 56.236' N,66° 11.64' W"
 "9° 57.193' N,85° 40.571' W"
 "32° 45.076' S,71° 29.123' W"
 "48° 34.041' N,124° 24.602' W"
 "0° 55.718' S,89° 36.747' W"
 "21° 31' S,13° 51' E"
 "23° 2.446' S,43° 30.316' W"
 "29° 56.039' S,31° 0.844' E"
 "39° 27.261' N,23° 7.331' E"
 "37° 53.3' N,25° 49.509' W"
 "43° 51.175' N,1° 23.587' W"
 "42° 23.468' N,8° 46.654' W"
 "8° 45.059' S,115° 49.361' E"
 "32° 5.323' N,34° 46.123' E"
 "37° 58.288' S,57° 32.47' W"
 "9° 1.658' S,13° 0.112' E"
 "38° 1.113' N,24° 0.861' E"
 "3° 56.478' S,38° 17.535' W"
 "49° 39.424' N,1° 31.42' W"
 "33° 35.038' N,7° 41.562' W"
 "22° 24.719' N,114° 22.761' E"
 "22° 57.491' S,42° 41.841' W"
 "43° 16.914' N,3° 26.689' E"
 "13° 9.607' N,88° 12.523' W"
 "24° 52.346' N,121° 50.539' E"
 "30° 49.222' S,30° 24.409' E"
 "37° 7.41' S,56° 51.662' W"
 "33° 49.776' N,7° 7.563' W"
 "37° 54.359' N,8° 48.157' W"
 "28° 5.123' S,48° 37.854' W"
 "37° 55.64' N,0° 43.341' W"
 "1° 51.125' S,99° 14.684' E"
 "46° 29.611' N,1° 47.083' W"
 "38° 46.638' N,27° 5.223' W"
 "43° 25.935' N,2° 48.301' W"
 "34° 21.299' N,130° 51.417' E"
 "18° 4.48' N,63° 0.916' W"
 "42° 44.147' N,10° 10.599' E"
 "44° 10.025' N,8° 20.511' E"
 "13° 26.706' N,16° 43.533' W"
 "20° 19.103' S,57° 22.051' E"
 "31° 57.016' S,29° 11.384' E"
 "53° 18.263' N,5° 3.001' E"
 "31° 27.833' N,116° 35.441' W"
 "8° 29.977' S,35° 0.188' W"
 "28° 9.224' S,48° 38.754' W"
 "51° 13.537' N,3° 53.744' W"
 "34° 2.014' S,25° 38.887' E"
 "4° 46.4' S,11° 49.514' E"
 "18° 30.51' N,67° 8.221' W"
 "26° 14.178' S,70° 39.267' W"
 "23° 51.928' S,35° 33.171' E"
 "23° 48.52' S,46° 1.324' W"
 "35° 17.508' N,139° 33.445' E"
 "15° 58.054' N,97° 40.611' W"
 "9° 38.12' N,79° 33.414' W"
 "34° 25.425' S,19° 11.224' E"
 "38° 47.626' N,27° 11.154' W"
 "44° 53.526' N,37° 17.71' E"
 "19° 14.381' N,104° 44.12' W"
