["38° 58.719' N,9° 25.393' W"
 "31° 47.909' N,34° 37.87' E"
 "28° 30.795' N,16° 10.553' W"
 "0° 59.614' S,100° 21.681' E"
 "23° 49.541' N,121° 35.132' E"
 "8° 39.942' S,115° 26.589' E"
 "29° 33.189' N,10° 3.397' W"
 "34° 0.237' S,53° 31.798' W"
 "1° 14.556' S,136° 27.221' E"
 "43° 57.078' N,10° 9.247' E"
 "11° 19.022' S,13° 48.68' E"
 "27° 55.843' S,15° 40.531' E"
 "56° 53.578' N,21° 10.641' E"
 "8° 43.829' S,115° 9.353' E"
 "26° 24.269' N,127° 50.915' E"
 "32° 20.693' S,71° 27.231' W"
 "34° 58.705' N,33° 42.052' E"
 "3° 3.278' S,100° 10.241' E"
 "13° 29.186' N,89° 19.484' W"
 "38° 59.784' N,9° 1.147' E"
 "31° 23.583' N,131° 4.348' E"
 "4° 22.572' S,55° 50.157' E"
 "27° 6.289' S,48° 36.541' W"
 "41° 9.101' N,30° 11.782' E"
 "32° 54.652' S,17° 51.9' E"
 "43° 22.368' N,2° 32.737' W"
 "51° 20.724' N,3° 14.616' E"
 "29° 36.855' N,115° 29.984' W"
 "38° 12.418' S,57° 41.291' W"
 "21° 2.925' S,55° 13.097' E"
 "26° 28.155' S,48° 36.423' W"
 "18° 44.363' S,39° 44.783' W"
 "53° 28.91' N,6° 6.683' W"
 "52° 20.779' N,9° 50.123' W"
 "24° 41.078' N,121° 50.274' E"
 "43° 24.847' N,3° 20.226' W"
 "54° 35.074' S,67° 20.597' W"
 "37° 59.18' S,57° 32.567' W"
 "31° 56.278' S,29° 13.181' E"
 "17° 57.333' N,66° 51.438' W"
 "34° 37.651' S,19° 18.184' E"
 "22° 56.043' S,14° 25.4' E"
 "8° 26.488' S,116° 2.05' E"
 "28° 43.243' N,13° 59.991' W"
 "21° 37.32' S,165° 27.749' E"
 "33° 52.048' S,25° 38.171' E"
 "30° 25.504' S,30° 40.394' E"
 "35° 11.59' N,139° 36.073' E"
 "41° 39.886' N,8° 49.368' W"
 "48° 38.203' N,2° 8.49' W"
 "7° 38.061' N,81° 16.75' W"
